mux,muh,success_rate
-2.88,-3.2,0.745
0.88,-3.44,0.124
-4.0,-4.0,0.768
3.6,-2.96,0.099
-0.16,-2.72,0.325
-1.84,-3.92,0.433
-0.72,-3.12,0.361
-3.92,-2.48,0.79
-3.44,-3.6,0.755
2.48,-3.76,0.122
-2.32,-2.8,0.697
3.04,-3.36,0.122
-3.36,-2.08,0.792
0.32,-3.84,0.104
-1.28,-3.52,0.384
2.0,-2.64,0.11
-1.76,-2.4,0.724
1.44,-3.04,0.107
0.4,-2.32,0.29
2.56,-2.24,0.117
-2.8,-3.2,0.708
-0.08,-2.72,0.291
0.96,-3.44,0.105
-1.76,-3.92,0.396
2.56,-3.76,0.108
-3.92,-4.0,0.772
-0.64,-3.12,0.325
3.68,-2.96,0.108
-3.84,-2.48,0.805
-3.36,-3.6,0.737
-3.28,-2.08,0.782
-2.24,-2.8,0.733
3.12,-3.36,0.108
0.4,-3.84,0.126
-1.2,-3.52,0.37
2.08,-2.64,0.116
-1.68,-2.4,0.717
1.52,-3.04,0.115
0.48,-2.32,0.234
2.64,-2.24,0.108
-2.72,-3.2,0.751
0.0,-2.72,0.303
2.64,-3.76,0.106
-1.68,-3.92,0.405
1.04,-3.44,0.112
-3.84,-4.0,0.758
-3.76,-2.48,0.791
-0.56,-3.12,0.314
3.76,-2.96,0.106
-2.64,-3.2,0.721
-3.28,-3.6,0.731
-3.2,-2.08,0.777
0.08,-2.72,0.249
-2.16,-2.8,0.736
1.12,-3.44,0.12
3.2,-3.36,0.106
0.56,-2.32,0.251
-1.6,-3.92,0.367
0.48,-3.84,0.126
-1.12,-3.52,0.331
2.16,-2.64,0.106
1.6,-3.04,0.1
-1.6,-2.4,0.696
2.72,-2.24,0.108
2.72,-3.76,0.113
-3.76,-4.0,0.731
0.64,-2.32,0.21
-2.56,-3.2,0.699
1.2,-3.44,0.107
-3.68,-4.0,0.748
-3.68,-2.48,0.809
-3.12,-2.08,0.812
-0.48,-3.12,0.297
-3.2,-3.6,0.75
0.16,-2.72,0.244
3.84,-2.96,0.113
-1.52,-3.92,0.333
-2.08,-2.8,0.722
3.28,-3.36,0.113
-1.04,-3.52,0.342
0.72,-2.32,0.186
2.24,-2.64,0.092
0.56,-3.84,0.108
1.68,-3.04,0.118
-1.52,-2.4,0.703
2.8,-2.24,0.108
2.8,-3.76,0.099
1.28,-3.44,0.095
-3.6,-4.0,0.755
0.8,-2.32,0.244
-2.48,-3.2,0.702
-0.96,-3.52,0.324
2.32,-2.64,0.087
-3.6,-2.48,0.779
-3.04,-2.08,0.808
1.76,-3.04,0.108
-3.12,-3.6,0.714
-0.4,-3.12,0.287
-2.0,-2.8,0.68
3.92,-2.96,0.099
0.24,-2.72,0.224
1.36,-3.44,0.121
3.36,-3.36,0.099
-1.44,-3.92,0.327
0.64,-3.84,0.117
2.88,-3.76,0.097
-1.44,-2.4,0.65
2.88,-2.24,0.108
0.88,-2.32,0.213
-0.88,-3.52,0.282
-3.52,-4.0,0.746
-2.4,-3.2,0.681
2.4,-2.64,0.102
1.44,-3.44,0.099
1.84,-3.04,0.097
-3.52,-2.48,0.808
-2.96,-2.08,0.798
-3.04,-3.6,0.73
-0.8,-3.52,0.284
-0.32,-3.12,0.26
-1.92,-2.8,0.691
4.0,-2.96,0.097
0.32,-2.72,0.208
3.44,-3.36,0.097
2.96,-3.76,0.098
-1.36,-3.92,0.312
0.96,-2.32,0.219
0.72,-3.84,0.089
