,opt,sigma_h_1,sigma_h_2,success_rate
0,2,0.0,0.0,0.877
1,2,0.01,0.01,0.873
2,2,0.02,0.02,0.888
3,2,0.03,0.03,0.89
4,2,0.04,0.04,0.882
5,2,0.05,0.05,0.908
6,2,0.06,0.06,0.916
7,2,0.07,0.07,0.912
8,2,0.08,0.08,0.93
9,2,0.09,0.09,0.91
10,2,0.1,0.1,0.935
11,2,0.11,0.11,0.938
12,2,0.12,0.12,0.948
13,2,0.13,0.13,0.953
14,2,0.14,0.14,0.945
15,2,0.15,0.15,0.964
16,2,0.16,0.16,0.961
17,2,0.17,0.17,0.948
18,2,0.18,0.18,0.977
19,2,0.19,0.19,0.956
20,2,0.2,0.2,0.972
21,2,0.21,0.21,0.97
22,2,0.22,0.22,0.968
23,2,0.23,0.23,0.966
24,2,0.24,0.24,0.964
25,2,0.25,0.25,0.969
26,2,0.26,0.26,0.974
27,2,0.27,0.27,0.977
28,2,0.28,0.28,0.968
29,2,0.29,0.29,0.975
30,2,0.3,0.3,0.969
31,2,0.31,0.31,0.975
32,2,0.32,0.32,0.977
33,2,0.33,0.33,0.984
34,2,0.34,0.34,0.974
35,2,0.35000000000000003,0.35000000000000003,0.981
36,2,0.36,0.36,0.978
37,2,0.37,0.37,0.977
38,2,0.38,0.38,0.973
39,2,0.39,0.39,0.97
40,2,0.4,0.4,0.981
41,2,0.41000000000000003,0.41000000000000003,0.983
42,2,0.42,0.42,0.981
43,2,0.43,0.43,0.97
44,2,0.44,0.44,0.985
45,2,0.45,0.45,0.98
46,2,0.46,0.46,0.976
47,2,0.47000000000000003,0.47000000000000003,0.977
48,2,0.48,0.48,0.977
49,2,0.49,0.49,0.972
50,2,0.5,0.5,0.98
51,2,0.51,0.51,0.975
52,2,0.52,0.52,0.989
53,2,0.53,0.53,0.972
54,2,0.54,0.54,0.964
55,2,0.55,0.55,0.97
56,2,0.56,0.56,0.973
57,2,0.5700000000000001,0.5700000000000001,0.979
58,2,0.58,0.58,0.981
59,2,0.59,0.59,0.974
60,2,0.6,0.6,0.973
61,2,0.61,0.61,0.981
62,2,0.62,0.62,0.972
63,2,0.63,0.63,0.976
64,2,0.64,0.64,0.976
65,2,0.65,0.65,0.97
66,2,0.66,0.66,0.968
67,2,0.67,0.67,0.979
68,2,0.68,0.68,0.976
69,2,0.6900000000000001,0.6900000000000001,0.969
70,2,0.7000000000000001,0.7000000000000001,0.963
71,2,0.71,0.71,0.966
72,2,0.72,0.72,0.975
73,2,0.73,0.73,0.985
74,2,0.74,0.74,0.971
75,2,0.75,0.75,0.975
76,2,0.76,0.76,0.967
77,2,0.77,0.77,0.972
78,2,0.78,0.78,0.967
79,2,0.79,0.79,0.97
80,2,0.8,0.8,0.97
81,2,0.81,0.81,0.963
82,2,0.8200000000000001,0.8200000000000001,0.967
83,2,0.8300000000000001,0.8300000000000001,0.964
84,2,0.84,0.84,0.971
85,2,0.85,0.85,0.963
86,2,0.86,0.86,0.965
87,2,0.87,0.87,0.966
88,2,0.88,0.88,0.964
89,2,0.89,0.89,0.964
90,2,0.9,0.9,0.97
91,2,0.91,0.91,0.967
92,2,0.92,0.92,0.975
93,2,0.93,0.93,0.961
94,2,0.9400000000000001,0.9400000000000001,0.968
95,2,0.9500000000000001,0.9500000000000001,0.963
96,2,0.96,0.96,0.965
97,2,0.97,0.97,0.963
98,2,0.98,0.98,0.964
99,2,0.99,0.99,0.961
100,2,1.0,1.0,0.954
101,10,0.0,0.0,0.367
102,10,0.01,0.01,0.367
103,10,0.02,0.02,0.405
104,10,0.03,0.03,0.411
105,10,0.04,0.04,0.386
106,10,0.05,0.05,0.434
107,10,0.06,0.06,0.43
108,10,0.07,0.07,0.451
109,10,0.08,0.08,0.475
110,10,0.09,0.09,0.458
111,10,0.1,0.1,0.479
112,10,0.11,0.11,0.516
113,10,0.12,0.12,0.521
114,10,0.13,0.13,0.526
115,10,0.14,0.14,0.524
116,10,0.15,0.15,0.553
117,10,0.16,0.16,0.594
118,10,0.17,0.17,0.559
119,10,0.18,0.18,0.609
120,10,0.19,0.19,0.584
121,10,0.2,0.2,0.579
122,10,0.21,0.21,0.627
123,10,0.22,0.22,0.614
124,10,0.23,0.23,0.653
125,10,0.24,0.24,0.626
126,10,0.25,0.25,0.66
127,10,0.26,0.26,0.679
128,10,0.27,0.27,0.673
129,10,0.28,0.28,0.66
130,10,0.29,0.29,0.71
131,10,0.3,0.3,0.703
132,10,0.31,0.31,0.693
133,10,0.32,0.32,0.722
134,10,0.33,0.33,0.752
135,10,0.34,0.34,0.736
136,10,0.35000000000000003,0.35000000000000003,0.741
137,10,0.36,0.36,0.743
138,10,0.37,0.37,0.765
139,10,0.38,0.38,0.757
140,10,0.39,0.39,0.788
141,10,0.4,0.4,0.777
142,10,0.41000000000000003,0.41000000000000003,0.771
143,10,0.42,0.42,0.77
144,10,0.43,0.43,0.791
145,10,0.44,0.44,0.798
146,10,0.45,0.45,0.815
147,10,0.46,0.46,0.816
148,10,0.47000000000000003,0.47000000000000003,0.798
149,10,0.48,0.48,0.806
150,10,0.49,0.49,0.823
151,10,0.5,0.5,0.847
152,10,0.51,0.51,0.832
153,10,0.52,0.52,0.816
154,10,0.53,0.53,0.822
155,10,0.54,0.54,0.844
156,10,0.55,0.55,0.832
157,10,0.56,0.56,0.84
158,10,0.5700000000000001,0.5700000000000001,0.845
159,10,0.58,0.58,0.843
160,10,0.59,0.59,0.851
161,10,0.6,0.6,0.836
162,10,0.61,0.61,0.839
163,10,0.62,0.62,0.856
164,10,0.63,0.63,0.872
165,10,0.64,0.64,0.844
166,10,0.65,0.65,0.85
167,10,0.66,0.66,0.864
168,10,0.67,0.67,0.889
169,10,0.68,0.68,0.866
170,10,0.6900000000000001,0.6900000000000001,0.856
171,10,0.7000000000000001,0.7000000000000001,0.857
172,10,0.71,0.71,0.881
173,10,0.72,0.72,0.858
174,10,0.73,0.73,0.868
175,10,0.74,0.74,0.854
176,10,0.75,0.75,0.869
177,10,0.76,0.76,0.855
178,10,0.77,0.77,0.85
179,10,0.78,0.78,0.866
180,10,0.79,0.79,0.862
181,10,0.8,0.8,0.857
182,10,0.81,0.81,0.882
183,10,0.8200000000000001,0.8200000000000001,0.865
184,10,0.8300000000000001,0.8300000000000001,0.882
185,10,0.84,0.84,0.853
186,10,0.85,0.85,0.846
187,10,0.86,0.86,0.846
188,10,0.87,0.87,0.859
189,10,0.88,0.88,0.859
190,10,0.89,0.89,0.87
191,10,0.9,0.9,0.873
192,10,0.91,0.91,0.858
193,10,0.92,0.92,0.861
194,10,0.93,0.93,0.865
195,10,0.9400000000000001,0.9400000000000001,0.873
196,10,0.9500000000000001,0.9500000000000001,0.856
197,10,0.96,0.96,0.861
198,10,0.97,0.97,0.864
199,10,0.98,0.98,0.86
200,10,0.99,0.99,0.875
201,10,1.0,1.0,0.857
202,40,0.0,0.0,0.08
203,40,0.01,0.01,0.077
204,40,0.02,0.02,0.095
205,40,0.03,0.03,0.083
206,40,0.04,0.04,0.104
207,40,0.05,0.05,0.085
208,40,0.06,0.06,0.093
209,40,0.07,0.07,0.102
210,40,0.08,0.08,0.111
211,40,0.09,0.09,0.098
212,40,0.1,0.1,0.098
213,40,0.11,0.11,0.116
214,40,0.12,0.12,0.121
215,40,0.13,0.13,0.108
216,40,0.14,0.14,0.118
217,40,0.15,0.15,0.13
218,40,0.16,0.16,0.121
219,40,0.17,0.17,0.143
220,40,0.18,0.18,0.143
221,40,0.19,0.19,0.127
222,40,0.2,0.2,0.138
223,40,0.21,0.21,0.149
224,40,0.22,0.22,0.155
225,40,0.23,0.23,0.149
226,40,0.24,0.24,0.157
227,40,0.25,0.25,0.158
228,40,0.26,0.26,0.167
229,40,0.27,0.27,0.177
230,40,0.28,0.28,0.186
231,40,0.29,0.29,0.2
232,40,0.3,0.3,0.197
233,40,0.31,0.31,0.23
234,40,0.32,0.32,0.206
235,40,0.33,0.33,0.256
236,40,0.34,0.34,0.227
237,40,0.35000000000000003,0.35000000000000003,0.244
238,40,0.36,0.36,0.248
239,40,0.37,0.37,0.231
240,40,0.38,0.38,0.285
241,40,0.39,0.39,0.263
242,40,0.4,0.4,0.26
243,40,0.41000000000000003,0.41000000000000003,0.295
244,40,0.42,0.42,0.281
245,40,0.43,0.43,0.3
246,40,0.44,0.44,0.308
247,40,0.45,0.45,0.324
248,40,0.46,0.46,0.347
249,40,0.47000000000000003,0.47000000000000003,0.336
250,40,0.48,0.48,0.392
251,40,0.49,0.49,0.396
252,40,0.5,0.5,0.422
253,40,0.51,0.51,0.411
254,40,0.52,0.52,0.4
255,40,0.53,0.53,0.422
256,40,0.54,0.54,0.465
257,40,0.55,0.55,0.435
258,40,0.56,0.56,0.484
259,40,0.5700000000000001,0.5700000000000001,0.498
260,40,0.58,0.58,0.488
261,40,0.59,0.59,0.482
262,40,0.6,0.6,0.493
263,40,0.61,0.61,0.483
264,40,0.62,0.62,0.535
265,40,0.63,0.63,0.548
266,40,0.64,0.64,0.55
267,40,0.65,0.65,0.549
268,40,0.66,0.66,0.535
269,40,0.67,0.67,0.573
270,40,0.68,0.68,0.552
271,40,0.6900000000000001,0.6900000000000001,0.576
272,40,0.7000000000000001,0.7000000000000001,0.581
273,40,0.71,0.71,0.606
274,40,0.72,0.72,0.618
275,40,0.73,0.73,0.611
276,40,0.74,0.74,0.603
277,40,0.75,0.75,0.633
278,40,0.76,0.76,0.628
279,40,0.77,0.77,0.637
280,40,0.78,0.78,0.639
281,40,0.79,0.79,0.63
282,40,0.8,0.8,0.666
283,40,0.81,0.81,0.661
284,40,0.8200000000000001,0.8200000000000001,0.664
285,40,0.8300000000000001,0.8300000000000001,0.679
286,40,0.84,0.84,0.685
287,40,0.85,0.85,0.642
288,40,0.86,0.86,0.685
289,40,0.87,0.87,0.693
290,40,0.88,0.88,0.672
291,40,0.89,0.89,0.697
292,40,0.9,0.9,0.711
293,40,0.91,0.91,0.7
294,40,0.92,0.92,0.718
295,40,0.93,0.93,0.71
296,40,0.9400000000000001,0.9400000000000001,0.691
297,40,0.9500000000000001,0.9500000000000001,0.692
298,40,0.96,0.96,0.726
299,40,0.97,0.97,0.699
300,40,0.98,0.98,0.726
301,40,0.99,0.99,0.694
302,40,1.0,1.0,0.707
