,opt,sigma,success_rate
0,5,0.0,0.274
1,5,0.01,0.312
2,5,0.02,0.308
3,5,0.03,0.294
4,5,0.04,0.333
5,5,0.05,0.334
6,5,0.06,0.305
7,5,0.07,0.343
8,5,0.08,0.348
9,5,0.09,0.322
10,5,0.1,0.357
11,5,0.11,0.358
12,5,0.12,0.336
13,5,0.13,0.376
14,5,0.14,0.376
15,5,0.15,0.359
16,5,0.16,0.391
17,5,0.17,0.379
18,5,0.18,0.372
19,5,0.19,0.404
20,5,0.2,0.393
21,5,0.21,0.381
22,5,0.22,0.412
23,5,0.23,0.408
24,5,0.24,0.397
25,5,0.25,0.423
26,5,0.26,0.419
27,5,0.27,0.401
28,5,0.28,0.429
29,5,0.29,0.431
30,5,0.3,0.412
31,5,0.31,0.441
32,5,0.32,0.435
33,5,0.33,0.422
34,5,0.34,0.449
35,5,0.35000000000000003,0.441
36,5,0.36,0.428
37,5,0.37,0.461
38,5,0.38,0.454
39,5,0.39,0.438
40,5,0.4,0.465
41,5,0.41000000000000003,0.462
42,5,0.42,0.444
43,5,0.43,0.469
44,5,0.44,0.472
45,5,0.45,0.454
46,5,0.46,0.467
47,5,0.47000000000000003,0.472
48,5,0.48,0.459
49,5,0.49,0.472
50,5,0.5,0.476
51,5,0.51,0.452
52,5,0.52,0.47
53,5,0.53,0.475
54,5,0.54,0.458
55,5,0.55,0.482
56,5,0.56,0.48
57,5,0.5700000000000001,0.455
58,5,0.58,0.484
59,5,0.59,0.483
60,5,0.6,0.455
61,5,0.61,0.456
62,5,0.62,0.456
63,5,0.63,0.457
64,5,0.64,0.46
65,5,0.65,0.46
66,5,0.66,0.457
67,5,0.67,0.46
68,5,0.68,0.463
69,5,0.6900000000000001,0.453
70,5,0.7000000000000001,0.458
71,5,0.71,0.464
72,5,0.72,0.452
73,5,0.73,0.459
74,5,0.74,0.463
75,5,0.75,0.451
76,5,0.76,0.454
77,5,0.77,0.46
78,5,0.78,0.451
79,5,0.79,0.45
80,5,0.8,0.464
81,5,0.81,0.45
82,5,0.8200000000000001,0.455
83,5,0.8300000000000001,0.466
84,5,0.84,0.452
85,5,0.85,0.453
86,5,0.86,0.466
87,5,0.87,0.455
88,5,0.88,0.453
89,5,0.89,0.464
90,5,0.9,0.455
91,5,0.91,0.451
92,5,0.92,0.463
93,5,0.93,0.45
94,5,0.9400000000000001,0.444
95,5,0.9500000000000001,0.466
96,5,0.96,0.448
97,5,0.97,0.445
98,5,0.98,0.469
99,5,0.99,0.446
100,5,1.0,0.442
101,10,0.0,0.103
102,10,0.01,0.091
103,10,0.02,0.086
104,10,0.03,0.09
105,10,0.04,0.095
106,10,0.05,0.099
107,10,0.06,0.095
108,10,0.07,0.096
109,10,0.08,0.105
110,10,0.09,0.093
111,10,0.1,0.1
112,10,0.11,0.11
113,10,0.12,0.096
114,10,0.13,0.102
115,10,0.14,0.113
116,10,0.15,0.103
117,10,0.16,0.108
118,10,0.17,0.117
119,10,0.18,0.114
120,10,0.19,0.129
121,10,0.2,0.108
122,10,0.21,0.118
123,10,0.22,0.135
124,10,0.23,0.116
125,10,0.24,0.127
126,10,0.25,0.143
127,10,0.26,0.121
128,10,0.27,0.135
129,10,0.28,0.15
130,10,0.29,0.128
131,10,0.3,0.144
132,10,0.31,0.153
133,10,0.32,0.135
134,10,0.33,0.152
135,10,0.34,0.153
136,10,0.35000000000000003,0.138
137,10,0.36,0.156
138,10,0.37,0.162
139,10,0.38,0.139
140,10,0.39,0.162
141,10,0.4,0.164
142,10,0.41000000000000003,0.145
143,10,0.42,0.175
144,10,0.43,0.17
145,10,0.44,0.143
146,10,0.45,0.178
147,10,0.46,0.175
148,10,0.47000000000000003,0.148
149,10,0.48,0.182
150,10,0.49,0.18
151,10,0.5,0.148
152,10,0.51,0.187
153,10,0.52,0.179
154,10,0.53,0.146
155,10,0.54,0.186
156,10,0.55,0.183
157,10,0.56,0.153
158,10,0.5700000000000001,0.183
159,10,0.58,0.185
160,10,0.59,0.183
161,10,0.6,0.183
162,10,0.61,0.184
163,10,0.62,0.177
164,10,0.63,0.198
165,10,0.64,0.182
166,10,0.65,0.175
167,10,0.66,0.195
168,10,0.67,0.18
169,10,0.68,0.183
170,10,0.6900000000000001,0.193
171,10,0.7000000000000001,0.184
172,10,0.71,0.188
173,10,0.72,0.194
174,10,0.73,0.184
175,10,0.74,0.188
176,10,0.75,0.197
177,10,0.76,0.185
178,10,0.77,0.189
179,10,0.78,0.201
180,10,0.79,0.182
181,10,0.8,0.176
182,10,0.81,0.2
183,10,0.8200000000000001,0.179
184,10,0.8300000000000001,0.179
185,10,0.84,0.198
186,10,0.85,0.181
187,10,0.86,0.178
188,10,0.87,0.2
189,10,0.88,0.184
190,10,0.89,0.181
191,10,0.9,0.2
192,10,0.91,0.182
193,10,0.92,0.181
194,10,0.93,0.199
195,10,0.9400000000000001,0.18
196,10,0.9500000000000001,0.177
197,10,0.96,0.202
198,10,0.97,0.179
199,10,0.98,0.172
200,10,0.99,0.202
201,10,1.0,0.178
